ID,Deaths,Total,Center,TRT
1,3,39,1,Control
2,14,116,2,Control
3,11,93,3,Control
4,127,1520,4,Control
5,27,365,5,Control
6,6,52,6,Control
7,152,939,7,Control
8,48,471,8,Control
9,37,282,9,Control
10,188,1921,10,Control
11,52,583,11,Control
12,47,266,12,Control
13,16,293,13,Control
14,45,883,14,Control
15,31,147,15,Control
16,38,213,16,Control
17,12,122,17,Control
18,6,154,18,Control
19,3,134,19,Control
20,40,218,20,Control
21,43,364,21,Control
22,39,674,22,Control
23,3,38,1,Treated
24,7,114,2,Treated
25,5,69,3,Treated
26,102,1533,4,Treated
27,28,355,5,Treated
28,4,59,6,Treated
29,98,945,7,Treated
30,60,632,8,Treated
31,25,278,9,Treated
32,138,1916,10,Treated
33,64,873,11,Treated
34,45,263,12,Treated
35,9,291,13,Treated
36,57,858,14,Treated
37,25,154,15,Treated
38,33,207,16,Treated
39,28,251,17,Treated
40,8,151,18,Treated
41,6,174,19,Treated
42,32,209,20,Treated
43,27,391,21,Treated
44,22,680,22,Treated
